
============================================================
VEM Deep Learning Training
============================================================
Data/Hora Início: 2025-11-30 09:21:39
Dataset: meshes_5_samples.npz
Experimento: meshes_5_samples_20251130_092139

HIPERPARÂMETROS:
  Arquitetura: 6 camadas [256-256-128-128-64-64]
  Batch size: 2048
  Learning rate: 0.001
  Optimizer: AdamW (weight_decay=1e-05)
  Scheduler: ReduceLROnPlateau (patience=10, factor=0.5)
  Epochs: 200
  Precision: FP16
  Device: NVIDIA GeForce RTX 4090
  Early Stopping: Ativo (patience=20)
  
============================================================


Carregando dados...

Criando modelo...
Parâmetros treináveis: 129,794
Compilando modelo (torch.compile)...

================================================================================
Epoch   Train Loss     Val Loss       LR          Time(s)   Best 
================================================================================
1       8246.447754    1927.259888    0.001000    9.4       *    
2       8212.220703    1900.639038    0.001000    0.6       *    
3       8138.419434    1856.957031    0.001000    0.6       *    
4       8111.132202    1818.675781    0.001000    0.6       *    
5       7952.301514    1780.969604    0.001000    0.6       *    
6       8003.937012    1750.455078    0.001000    0.6       *    
7       7894.839478    1724.250244    0.001000    0.6       *    
8       7900.169800    1700.885620    0.001000    0.6       *    
9       7852.919678    1679.674561    0.001000    0.6       *    
10      7770.069458    1660.050293    0.001000    0.6       *    
11      7732.953613    1641.267700    0.001000    0.6       *    
12      7781.562622    1623.539917    0.001000    0.6       *    
13      7675.904907    1606.304077    0.001000    0.6       *    
14      7674.640747    1589.554932    0.001000    0.6       *    
15      7588.128784    1573.164795    0.001000    0.6       *    
16      7622.648682    1557.250488    0.001000    0.6       *    
17      7628.712280    1541.661743    0.001000    0.6       *    
18      7584.925049    1526.296021    0.001000    0.6       *    
19      7539.855103    1511.204102    0.001000    0.6       *    
20      7522.223877    1496.307129    0.001000    0.6       *    
21      7456.534424    1481.559814    0.001000    0.6       *    
22      7434.384521    1467.287842    0.001000    0.6       *    
23      7401.170776    1453.201294    0.001000    0.6       *    
24      7387.712646    1439.258057    0.001000    0.6       *    
25      7387.044922    1425.457886    0.001000    0.6       *    
26      7377.438110    1411.521240    0.001000    0.6       *    
27      7357.019165    1398.395996    0.001000    0.6       *    
28      7322.714600    1385.057739    0.001000    0.6       *    
29      7261.160034    1371.894897    0.001000    0.6       *    
30      7305.058472    1358.871338    0.001000    0.6       *    
31      7229.712402    1346.325562    0.001000    0.6       *    
32      7175.690552    1333.608276    0.001000    0.6       *    
33      7224.560913    1321.330811    0.001000    0.6       *    
34      7156.839844    1308.886230    0.001000    0.6       *    
35      7087.844482    1296.876709    0.001000    0.6       *    
36      7063.078735    1284.759033    0.001000    0.6       *    
37      7011.486938    1273.015869    0.001000    0.6       *    
38      7081.787720    1261.164673    0.001000    0.6       *    
39      7037.089600    1249.736572    0.001000    0.6       *    
40      7011.661255    1238.437744    0.001000    0.5       *    
41      6955.487915    1226.982544    0.001000    0.6       *    
42      6985.534058    1215.944214    0.001000    0.6       *    
43      6954.430786    1205.076538    0.001000    0.6       *    
44      6898.574219    1194.054932    0.001000    0.6       *    
45      6925.732788    1183.402344    0.001000    0.6       *    
46      6911.924927    1172.914917    0.001000    0.6       *    
47      6900.607910    1162.280151    0.001000    0.6       *    
48      6843.414062    1152.077759    0.001000    0.6       *    
49      6825.929443    1141.967041    0.001000    0.6       *    
50      6804.357910    1132.010376    0.001000    0.6       *    
51      6771.555542    1122.175293    0.001000    0.6       *    
52      6770.269897    1111.912598    0.001000    0.6       *    
53      6735.700684    1102.327515    0.001000    0.6       *    
54      6696.237549    1092.864258    0.001000    0.6       *    
55      6664.036255    1083.542603    0.001000    0.6       *    
56      6649.431030    1074.321411    0.001000    0.6       *    
57      6656.065308    1065.221924    0.001000    0.6       *    
58      6653.019653    1056.258911    0.001000    0.6       *    
59      6593.177002    1047.414429    0.001000    0.6       *    
60      6609.085449    1038.185791    0.001000    0.6       *    
61      6545.408447    1029.593140    0.001000    0.6       *    
62      6569.443970    1021.107971    0.001000    0.6       *    
63      6554.661133    1012.741089    0.001000    0.6       *    
64      6512.595581    1004.492798    0.001000    0.6       *    
65      6446.296509    996.365295     0.001000    0.6       *    
66      6414.738525    988.352966     0.001000    0.6       *    
67      6467.660278    980.456299     0.001000    0.6       *    
68      6412.559692    972.673279     0.001000    0.6       *    
69      6442.306274    964.548279     0.001000    0.6       *    
70      6513.602173    957.004211     0.001000    0.6       *    
71      6346.545410    949.563965     0.001000    0.6       *    
72      6320.222412    942.235596     0.001000    0.6       *    
73      6315.300049    935.018982     0.001000    0.6       *    
74      6318.401367    927.914185     0.001000    0.6       *    
75      6334.166992    920.921204     0.001000    0.6       *    
76      6306.172363    914.040039     0.001000    0.6       *    
77      6238.793091    907.237244     0.001000    0.6       *    
78      6228.233154    900.160339     0.001000    0.6       *    
79      6225.722656    893.576111     0.001000    0.6       *    
80      6231.780273    887.140076     0.001000    0.6       *    
81      6172.628296    880.770142     0.001000    0.6       *    
82      6192.042969    874.505981     0.001000    0.6       *    
83      6167.842651    868.347534     0.001000    0.6       *    
84      6137.788574    861.958069     0.001000    0.6       *    
85      6105.378784    855.960815     0.001000    0.6       *    
86      6043.750854    850.123596     0.001000    0.6       *    
87      6069.768433    844.392212     0.001000    0.6       *    
88      6074.396362    838.766479     0.001000    0.6       *    
89      6052.103027    833.246460     0.001000    0.6       *    
90      6081.911987    827.760437     0.001000    0.6       *    
91      6018.281616    822.448914     0.001000    0.6       *    
92      6030.767700    817.165710     0.001000    0.6       *    
93      6000.362915    811.709229     0.001000    0.6       *    
94      6020.238525    806.633118     0.001000    0.6       *    
